P_prefix,amount,day,payee,payer,step
57,57,1,H3,H2,1
183,126,1,H13,H12,2
225,42,1,H23,H22,3
272,47,1,H33,H32,4
379,107,1,H43,H42,5
453,74,1,H53,H52,6
501,48,1,H63,H62,7
609,108,1,H73,H72,8
665,56,1,H83,H82,9
969,304,1,H93,H92,10
293,293,2,H6,H5,1
355,62,2,H16,H15,2
396,41,2,H26,H25,3
597,201,2,H36,H35,4
628,31,2,H46,H45,5
747,119,2,H56,H55,6
877,130,2,H66,H65,7
977,100,2,H76,H75,8
1203,226,2,H86,H85,9
1354,151,2,H96,H95,10
6,6,3,H9,H8,1
151,145,3,H19,H18,2
268,117,3,H29,H28,3
277,9,3,H39,H38,4
544,267,3,H49,H48,5
666,122,3,H59,H58,6
720,54,3,H69,H68,7
844,124,3,H79,H78,8
1170,326,3,H89,H88,9
1297,127,3,H99,H98,10
64,64,4,H2,H1,1
170,106,4,H12,H11,2
287,117,4,H22,H21,3
493,206,4,H32,H31,4
639,146,4,H42,H41,5
649,10,4,H52,H51,6
788,139,4,H62,H61,7
821,33,4,H72,H71,8
899,78,4,H82,H81,9
922,23,4,H92,H91,10
359,359,5,H5,H4,1
370,11,5,H15,H14,2
484,114,5,H25,H24,3
585,101,5,H35,H34,4
764,179,5,H45,H44,5
846,82,5,H55,H54,6
877,31,5,H65,H64,7
994,117,5,H75,H74,8
1086,92,5,H85,H84,9
1116,30,5,H95,H94,10
52,52,6,H8,H7,1
86,34,6,H18,H17,2
164,78,6,H28,H27,3
303,139,6,H38,H37,4
466,163,6,H48,H47,5
633,167,6,H58,H57,6
887,254,6,H68,H67,7
908,21,6,H78,H77,8
951,43,6,H88,H87,9
1018,67,6,H98,H97,10
139,139,7,H11,H10,1
216,77,7,H21,H20,2
225,9,7,H31,H30,3
276,51,7,H41,H40,4
357,81,7,H51,H50,5
384,27,7,H61,H60,6
401,17,7,H71,H70,7
520,119,7,H81,H80,8
654,134,7,H91,H90,9
891,237,7,H1,H100,10
95,95,8,H4,H3,1
125,30,8,H14,H13,2
190,65,8,H24,H23,3
266,76,8,H34,H33,4
313,47,8,H44,H43,5
404,91,8,H54,H53,6
495,91,8,H64,H63,7
601,106,8,H74,H73,8
824,223,8,H84,H83,9
903,79,8,H94,H93,10
43,43,9,H7,H6,1
101,58,9,H17,H16,2
206,105,9,H27,H26,3
208,2,9,H37,H36,4
231,23,9,H47,H46,5
361,130,9,H57,H56,6
515,154,9,H67,H66,7
562,47,9,H77,H76,8
725,163,9,H87,H86,9
749,24,9,H97,H96,10
40,40,10,H10,H9,1
106,66,10,H20,H19,2
123,17,10,H30,H29,3
220,97,10,H40,H39,4
264,44,10,H50,H49,5
280,16,10,H60,H59,6
411,131,10,H70,H69,7
453,42,10,H80,H79,8
553,100,10,H90,H89,9
728,175,10,H100,H99,10
