P_prefix,amount,day,payee,payer,step
8,8,1,H23,H22,1
23,23,2,H52,H51,1
32,9,2,H92,H91,2
24,24,3,H31,H30,1
45,21,3,H81,H80,2
10,10,4,H10,H9,1
13,3,4,H20,H19,2
20,7,4,H50,H49,3
21,1,4,H100,H99,4
7,7,5,H29,H28,1
12,5,5,H39,H38,2
29,17,5,H59,H58,3
49,20,5,H69,H68,4
1,1,6,H28,H27,1
16,15,6,H78,H77,2
18,2,6,H98,H97,3
8,8,7,H7,H6,1
10,2,7,H17,H16,2
34,24,7,H27,H26,3
41,7,7,H37,H36,4
57,16,7,H57,H56,5
72,15,7,H87,H86,6
17,17,8,H16,H15,1
18,1,8,H96,H95,2
2,2,9,H5,H4,1
26,24,9,H95,H94,2
33,33,10,H4,H3,1
36,3,10,H34,H33,2
46,10,10,H44,H43,3
71,25,10,H54,H53,4
73,2,10,H94,H93,5
