P_prefix,amount,day,payee,payer,step
10,10,1,H3,H2,1
65,55,1,H13,H12,2
78,13,1,H23,H22,3
89,11,1,H33,H32,4
111,22,1,H43,H42,5
151,40,1,H48,H47,6
205,54,1,H53,H52,7
300,95,1,H58,H57,8
346,46,1,H63,H62,9
351,5,1,H68,H67,10
447,96,1,H78,H77,11
449,2,1,H88,H87,12
461,12,1,H93,H92,13
81,81,3,H6,H5,1
113,32,3,H21,H20,2
120,7,3,H31,H30,3
174,54,3,H36,H35,4
195,21,3,H41,H40,5
222,27,3,H46,H45,6
254,32,3,H61,H60,7
307,53,3,H66,H65,8
332,25,3,H71,H70,9
357,25,3,H86,H85,10
396,39,3,H91,H90,11
426,30,3,H1,H100,12
51,51,5,H9,H8,1
52,1,5,H24,H23,2
55,3,5,H29,H28,3
83,28,5,H34,H33,4
149,66,5,H39,H38,5
161,12,5,H49,H48,6
257,96,5,H54,H53,7
266,9,5,H74,H73,8
381,115,5,H79,H78,9
446,65,5,H84,H83,10
453,7,5,H89,H88,11
457,4,5,H94,H93,12
504,47,5,H99,H98,13
55,55,7,H2,H1,1
182,127,7,H7,H6,2
330,148,7,H17,H16,3
366,36,7,H22,H21,4
371,5,7,H27,H26,5
375,4,7,H32,H31,6
421,46,7,H37,H36,7
435,14,7,H57,H56,8
507,72,7,H67,H66,9
589,82,7,H77,H76,10
628,39,7,H82,H81,11
734,106,7,H87,H86,12
773,39,7,H92,H91,13
49,49,9,H5,H4,1
56,7,9,H10,H9,2
99,43,9,H15,H14,3
160,61,9,H20,H19,4
182,22,9,H25,H24,5
192,10,9,H30,H29,6
202,10,9,H50,H49,7
234,32,9,H55,H54,8
263,29,9,H65,H64,9
273,10,9,H70,H69,10
292,19,9,H75,H74,11
301,9,9,H80,H79,12
305,4,9,H85,H84,13
314,9,9,H90,H89,14
