P_prefix,amount,day,payee,payer,step
48,48,1,H8,H7,1
81,33,1,H13,H12,2
224,143,1,H18,H17,3
512,288,1,H23,H22,4
697,185,1,H28,H27,5
727,30,1,H38,H37,6
789,62,1,H43,H42,7
796,7,1,H58,H57,8
797,1,1,H63,H62,9
929,132,1,H68,H67,10
1134,205,1,H78,H77,11
1468,334,1,H83,H82,12
1538,70,1,H93,H92,13
1936,398,1,H98,H97,14
1961,25,1,big_mid,H2,15
1986,25,1,big_short,H7,16
2011,25,1,big_long,H12,17
2036,25,1,big_mid,H17,18
2061,25,1,big_short,H22,19
2086,25,1,big_long,H27,20
2111,25,1,big_mid,H32,21
2136,25,1,big_short,H37,22
2161,25,1,big_long,H42,23
2186,25,1,big_mid,H47,24
2211,25,1,big_short,H52,25
2236,25,1,big_long,H57,26
2261,25,1,big_mid,H62,27
2286,25,1,big_short,H67,28
2311,25,1,big_long,H72,29
2336,25,1,big_mid,H77,30
2361,25,1,big_short,H82,31
2386,25,1,big_long,H87,32
2411,25,1,big_mid,H92,33
2436,25,1,big_short,H97,34
135,135,3,H4,H3,1
150,15,3,H9,H8,2
157,7,3,H14,H13,3
250,93,3,H19,H18,4
321,71,3,H24,H23,5
