P_prefix,amount,day,payee,payer,step
36,36,1,H33,H32,1
40,4,1,H43,H42,2
66,26,1,H53,H52,3
8,8,2,H22,H21,1
19,11,2,H32,H31,2
36,17,2,H52,H51,3
41,5,2,H62,H61,4
87,46,2,H72,H71,5
112,25,2,H82,H81,6
9,9,3,H11,H10,1
23,14,3,H41,H40,2
24,1,3,H51,H50,3
56,32,3,H61,H60,4
57,1,3,H71,H70,5
107,50,3,H81,H80,6
152,45,3,H1,H100,7
8,8,4,H40,H39,1
47,39,4,H90,H89,2
32,32,5,H39,H38,1
41,9,5,H59,H58,2
67,26,5,H89,H88,3
47,47,6,H8,H7,1
49,2,6,H18,H17,2
68,19,6,H28,H27,3
72,4,6,H38,H37,4
73,1,6,H58,H57,5
91,18,6,H98,H97,6
41,41,7,H7,H6,1
75,34,7,H57,H56,2
7,7,8,H16,H15,1
10,3,8,H36,H35,2
26,16,8,H46,H45,3
32,6,8,H56,H55,4
66,34,8,H66,H65,5
72,6,8,H86,H85,6
7,7,9,H5,H4,1
16,9,9,H35,H34,2
46,30,9,H75,H74,3
47,1,9,H85,H84,4
82,35,9,H95,H94,5
71,71,10,H4,H3,1
124,53,10,H14,H13,2
126,2,10,H34,H33,3
127,1,10,H54,H53,4
132,5,10,H64,H63,5
169,37,10,H74,H73,6
