P_prefix,amount,day,payee,payer,step
38,38,1,H8,H7,1
64,26,1,H13,H12,2
178,114,1,H18,H17,3
408,230,1,H23,H22,4
556,148,1,H28,H27,5
580,24,1,H38,H37,6
630,50,1,H43,H42,7
635,5,1,H58,H57,8
636,1,1,H63,H62,9
742,106,1,H68,H67,10
906,164,1,H78,H77,11
1173,267,1,H83,H82,12
1229,56,1,H93,H92,13
1548,319,1,H98,H97,14
108,108,3,H4,H3,1
120,12,3,H9,H8,2
126,6,3,H14,H13,3
200,74,3,H19,H18,4
257,57,3,H24,H23,5
270,13,3,H34,H33,6
637,367,3,H39,H38,7
639,2,3,H44,H43,8
659,20,3,H69,H68,9
743,84,3,H74,H73,10
748,5,3,H84,H83,11
780,32,3,H89,H88,12
978,198,3,H99,H98,13
15,15,5,H5,H4,1
20,5,5,H10,H9,2
486,466,5,H20,H19,3
631,145,5,H40,H39,4
669,38,5,H50,H49,5
801,132,5,H55,H54,6
851,50,5,H60,H59,7
890,39,5,H70,H69,8
955,65,5,H75,H74,9
971,16,5,H80,H79,10
1102,131,5,H85,H84,11
1126,24,5,H95,H94,12
28,28,7,H11,H10,1
358,330,7,H16,H15,2
390,32,7,H21,H20,3
417,27,7,H51,H50,4
491,74,7,H56,H55,5
655,164,7,H66,H65,6
722,67,7,H71,H70,7
725,3,7,H81,H80,8
727,2,7,H86,H85,9
969,242,7,H91,H90,10
976,7,7,H1,H100,11
5,5,9,H7,H6,1
223,218,9,H12,H11,2
226,3,9,H37,H36,3
234,8,9,H42,H41,4
285,51,9,H52,H51,5
296,11,9,H57,H56,6
297,1,9,H62,H61,7
382,85,9,H67,H66,8
411,29,9,H72,H71,9
412,1,9,H82,H81,10
440,28,9,H97,H96,11
