P_prefix,amount,day,payee,payer,step
86,86,1,H2,H1,1
86,1,1,H3,H2,2
261,176,1,dealer_short,H3,3
720,459,1,H5,H4,4
720,10,1,H6,H5,5
814,94,1,H9,H8,6
1096,282,1,H11,H10,7
1096,3,1,dealer_short,H11,8
1102,6,1,H15,H14,9
1237,141,1,H16,H15,10
1321,84,1,H20,H19,11
1321,5,1,H21,H20,12
1321,1,1,H22,H21,13
1412,92,1,H23,H22,14
1455,43,1,H26,H25,15
1457,2,1,H28,H27,16
1555,98,1,H31,H30,17
1555,1,1,H32,H31,18
1599,45,1,H33,H32,19
1609,55,1,H34,H33,20
1609,8,1,H35,H34,21
1862,253,1,H38,H37,22
1981,119,1,H41,H40,23
1981,1,1,H42,H41,24
1996,15,1,dealer_short,H43,25
2021,25,1,H46,H45,26
2021,1,1,H47,H46,27
2088,68,1,H48,H47,28
2229,209,1,H49,H48,29
2252,232,1,H50,H49,30
2254,2,1,H53,H52,31
2468,214,1,H56,H55,32
2468,19,1,H57,H56,33
2468,1,1,H58,H57,34
2478,11,1,H59,H58,35
2504,37,1,H60,H59,36
2517,13,1,H62,H61,37
2520,3,1,H64,H63,38
2901,381,1,H68,H67,39
2920,19,1,H72,H71,40
3180,279,1,H73,H72,41
3191,11,1,H75,H74,42
3347,167,1,dealer_short,H75,43
3355,8,1,H78,H77,44
3733,386,1,H79,H78,45
3743,10,1,H81,H80,46
3756,13,1,H83,H82,47
3784,41,1,H84,H83,48
4101,358,1,H85,H84,49
4101,21,1,H86,H85,50
4101,8,1,H87,H86,51
4101,6,1,H88,H87,52
4101,1,1,H89,H88,53
4115,15,1,H90,H89,54
4143,43,1,H91,H90,55
4181,38,1,H94,H93,56
4207,26,1,H96,H95,57
4267,60,1,H99,H98,58
