P_prefix,amount,day,payee,payer,step
10,10,1,H2,H1,1
88,88,1,H3,H2,2
126,38,1,H5,H4,3
142,54,1,H6,H5,4
168,26,1,H8,H7,5
190,48,1,H9,H8,6
273,83,1,H11,H10,7
348,158,1,H12,H11,8
348,1,1,H13,H12,9
504,156,1,H15,H14,10
576,72,1,H18,H17,11
576,1,1,H19,H18,12
591,16,1,H20,H19,13
591,6,1,H21,H20,14
855,264,1,H24,H23,15
937,82,1,H26,H25,16
939,84,1,H27,H26,17
957,102,1,H28,H27,18
957,16,1,H29,H28,19
965,24,1,H30,H29,20
965,12,1,H31,H30,21
1004,39,1,H36,H35,22
1042,77,1,H37,H36,23
1042,54,1,H38,H37,24
1042,10,1,H39,H38,25
1072,40,1,H40,H39,26
1082,10,1,H43,H42,27
1134,62,1,H44,H43,28
1134,1,1,H45,H44,29
1160,27,1,H46,H45,30
1160,5,1,H47,H46,31
1208,53,1,H48,H47,32
1212,4,1,H50,H49,33
1215,7,1,H51,H50,34
1255,47,1,H52,H51,35
1255,42,1,H53,H52,36
1256,43,1,H54,H53,37
1278,22,1,H56,H55,38
1336,80,1,H57,H56,39
1405,69,1,H59,H58,40
1405,12,1,H60,H59,41
1417,12,1,H62,H61,42
1598,181,1,H64,H63,43
1650,52,1,H66,H65,44
1769,119,1,H68,H67,45
1769,57,1,H69,H68,46
1769,20,1,H70,H69,47
1821,72,1,H71,H70,48
1821,17,1,H72,H71,49
1848,44,1,H73,H72,50
1848,30,1,H74,H73,51
1848,11,1,H75,H74,52
1858,21,1,H76,H75,53
1869,32,1,H77,H76,54
1869,11,1,H78,H77,55
1877,19,1,H79,H78,56
1877,12,1,H80,H79,57
1880,15,1,H81,H80,58
1995,115,1,H83,H82,59
1995,13,1,H84,H83,60
2065,83,1,H85,H84,61
2065,50,1,H86,H85,62
2065,48,1,H87,H86,63
2112,95,1,H88,H87,64
2112,11,1,H89,H88,65
2284,172,1,H92,H91,66
2284,6,1,H93,H92,67
2288,4,1,H95,H94,68
2289,5,1,H96,H95,69
2371,82,1,H98,H97,70
2408,119,1,H99,H98,71
2408,3,1,H100,H99,72
2410,15,1,H1,H100,73
