P_prefix,amount,day,payee,payer,step
111,111,1,H3,H2,1
208,97,1,H28,H27,2
255,47,1,H63,H62,3
365,110,1,H93,H92,4
81,81,3,H4,H3,1
145,64,3,H29,H28,2
178,33,3,dealer_short,H48,3
253,75,3,H94,H93,4
53,53,5,dealer_short,H4,1
109,56,5,dealer_short,H9,2
249,140,5,dealer_short,H24,3
312,63,5,H30,H29,4
394,82,5,dealer_short,H34,5
469,75,5,dealer_short,H44,6
490,21,5,dealer_short,H59,7
577,87,5,dealer_short,H64,8
640,63,5,dealer_short,H84,9
725,85,5,dealer_short,H89,10
800,75,5,dealer_short,H94,11
55,55,7,dealer_short,H5,1
216,161,7,dealer_short,H15,2
301,85,7,dealer_short,H20,3
428,127,7,dealer_short,H25,4
487,59,7,dealer_short,H35,5
635,148,7,dealer_short,H40,6
662,27,7,dealer_short,H45,7
751,89,7,dealer_short,H50,8
825,74,7,dealer_short,H55,9
866,41,7,dealer_short,H65,10
952,86,7,dealer_short,H70,11
1011,59,7,dealer_short,H75,12
1073,62,7,dealer_short,H80,13
1153,80,7,dealer_short,H85,14
1264,111,7,dealer_short,H90,15
1317,53,7,dealer_short,H95,16
1418,101,7,dealer_short,H100,17
104,104,9,dealer_short,H1,1
144,40,9,H12,H11,2
281,137,9,H17,H16,3
386,105,9,H22,H21,4
489,103,9,dealer_short,H26,5
574,85,9,H32,H31,6
630,56,9,H37,H36,7
751,121,9,H42,H41,8
822,71,9,H57,H56,9
1005,183,9,dealer_short,H61,10
1073,68,9,H67,H66,11
1121,48,9,H72,H71,12
1178,57,9,H87,H86,13
1268,90,9,dealer_short,H91,14
