P_prefix,amount,day,payee,payer,step
17,17,1,H2,H1,1
104,104,1,H3,H2,2
104,20,1,H4,H3,3
206,102,1,H6,H5,4
206,53,1,H7,H6,5
258,105,1,H8,H7,6
258,91,1,H9,H8,7
258,4,1,H10,H9,8
336,82,1,H11,H10,9
360,106,1,H12,H11,10
360,80,1,H13,H12,11
505,145,1,H15,H14,12
505,51,1,H16,H15,13
505,28,1,H17,H16,14
505,15,1,H18,H17,15
633,128,1,H20,H19,16
633,103,1,H21,H20,17
633,63,1,H22,H21,18
646,76,1,H23,H22,19
646,27,1,H24,H23,20
701,82,1,H25,H24,21
701,17,1,H26,H25,22
790,106,1,H27,H26,23
793,109,1,H28,H27,24
805,121,1,H29,H28,25
805,31,1,H30,H29,26
805,10,1,H31,H30,27
839,44,1,H32,H31,28
922,127,1,H33,H32,29
922,78,1,H34,H33,30
994,150,1,H35,H34,31
994,61,1,H36,H35,32
994,55,1,H37,H36,33
1014,20,1,H39,H38,34
1019,25,1,H40,H39,35
1091,97,1,H41,H40,36
1103,109,1,H42,H41,37
1103,62,1,H43,H42,38
1130,89,1,H44,H43,39
1130,63,1,H45,H44,40
1188,121,1,H46,H45,41
1379,191,1,H48,H47,42
1379,111,1,H49,H48,43
1379,69,1,H50,H49,44
1443,64,1,H52,H51,45
1486,107,1,H53,H52,46
1612,126,1,H55,H54,47
1612,54,1,H56,H55,48
1707,149,1,H57,H56,49
1707,100,1,H58,H57,50
1814,107,1,H60,H59,51
1814,83,1,H61,H60,52
1896,82,1,H63,H62,53
1896,55,1,H64,H63,54
1916,20,1,H67,H66,55
1916,8,1,H68,H67,56
1969,53,1,H71,H70,57
1969,32,1,H72,H71,58
2063,126,1,H73,H72,59
2089,26,1,H75,H74,60
2128,65,1,H76,H75,61
2182,119,1,H77,H76,62
2182,27,1,H78,H77,63
2213,58,1,H79,H78,64
2213,16,1,H80,H79,65
2268,71,1,H81,H80,66
2268,28,1,H82,H81,67
2268,9,1,H83,H82,68
2313,54,1,H84,H83,69
2313,17,1,H85,H84,70
2313,13,1,H86,H85,71
2317,17,1,H87,H86,72
2359,59,1,H88,H87,73
2359,41,1,H89,H88,74
2417,58,1,H91,H90,75
2417,30,1,H92,H91,76
2417,22,1,H93,H92,77
2433,38,1,H94,H93,78
2457,24,1,H96,H95,79
2501,68,1,H97,H96,80
2695,194,1,H99,H98,81
2695,68,1,H100,H99,82
