P_prefix,amount,day,payee,payer,step
68,68,1,H13,H12,1
101,33,1,H23,H22,2
105,4,1,H83,H82,3
147,42,1,H93,H92,4
1,1,2,H6,H5,1
7,6,2,H16,H15,2
94,87,2,H26,H25,3
95,1,2,dealer_short,H45,4
114,19,2,H56,H55,5
132,18,2,H76,H75,6
241,109,2,dealer_short,H95,7
5,5,3,H9,H8,1
35,30,3,H29,H28,2
180,145,3,H39,H38,3
559,379,3,H49,H48,4
624,65,3,H59,H58,5
668,44,3,H69,H68,6
725,57,3,H79,H78,7
765,40,3,H89,H88,8
84,84,4,H12,H11,1
88,4,4,H42,H41,2
105,17,4,H52,H51,3
192,87,4,H62,H61,4
20,20,5,H15,H14,1
150,130,5,H25,H24,2
151,1,5,H35,H34,3
158,7,5,dealer_short,H64,4
204,46,5,H85,H84,5
267,63,5,dealer_short,H94,6
6,6,6,H74,H17,1
8,2,6,H28,H27,2
51,43,6,dealer_short,H37,3
62,11,6,H88,H87,4
51,51,7,H21,H20,1
98,47,7,H75,H30,2
116,18,7,H41,H40,3
137,21,7,H61,H60,4
26,26,8,H4,H3,1
137,111,8,H75,H23,2
162,25,8,H54,H53,3
167,5,8,H94,H93,4
53,53,9,H7,H6,1
118,65,9,H17,H16,2
135,17,9,H27,H26,3
203,68,9,H37,H36,4
204,1,9,dealer_short,H56,5
218,14,9,dealer_short,H66,6
7,7,10,H10,H9,1
19,12,10,H40,H39,2
26,7,10,H50,H49,3
29,3,10,H60,H59,4
42,13,10,H70,H69,5
44,2,10,H75,H79,6
