P_prefix,amount,day,payee,payer,step
59,59,1,H3,H2,1
88,29,1,H8,H7,2
126,38,1,H23,H22,3
168,42,1,H33,H32,4
266,98,1,H43,H42,5
290,24,1,H48,H47,6
314,24,1,H53,H52,7
329,15,1,H58,H57,8
362,33,1,H68,H67,9
454,92,1,H78,H77,10
480,26,1,H83,H82,11
537,57,1,H88,H87,12
566,29,1,H93,H92,13
633,67,1,H98,H97,14
25,25,3,H4,H3,1
156,131,3,H19,H18,2
292,136,3,H24,H23,3
375,83,3,H29,H28,4
458,83,3,H34,H33,5
480,22,3,H39,H38,6
613,133,3,H44,H43,7
653,40,3,H54,H53,8
689,36,3,H64,H63,9
791,102,3,H69,H68,10
907,116,3,H74,H73,11
974,67,3,H79,H78,12
1026,52,3,H84,H83,13
1089,63,3,H89,H88,14
1124,35,3,H94,H93,15
1239,115,3,H99,H98,16
47,47,5,H5,H4,1
195,148,5,H10,H9,2
295,100,5,H15,H14,3
308,13,5,H20,H19,4
343,35,5,H25,H24,5
406,63,5,H35,H34,6
474,68,5,H40,H39,7
573,99,5,H45,H44,8
605,32,5,H50,H49,9
665,60,5,H55,H54,10
728,63,5,H60,H59,11
806,78,5,H65,H64,12
995,189,5,H70,H69,13
1032,37,5,H75,H74,14
1185,153,5,H80,H79,15
1198,13,5,H90,H89,16
1238,40,5,H95,H94,17
1364,126,5,H100,H99,18
45,45,7,H6,H5,1
226,181,7,H11,H10,2
309,83,7,H16,H15,3
332,23,7,H26,H25,4
394,62,7,H31,H30,5
417,23,7,H36,H35,6
550,133,7,H41,H40,7
576,26,7,H46,H45,8
693,117,7,H51,H50,9
759,66,7,H56,H55,10
825,66,7,H66,H65,11
933,108,7,H81,H80,12
1000,67,7,H86,H85,13
1103,103,7,H91,H90,14
1190,87,7,H96,H95,15
1304,114,7,H1,H100,16
34,34,9,H2,H1,1
126,92,9,H12,H11,2
178,52,9,H17,H16,3
223,45,9,H22,H21,4
303,80,9,H32,H31,5
332,29,9,H37,H36,6
343,11,9,H42,H41,7
448,105,9,H52,H51,8
468,20,9,H57,H56,9
525,57,9,H62,H61,10
610,85,9,H72,H71,11
643,33,9,H77,H76,12
834,191,9,H82,H81,13
955,121,9,H87,H86,14
1059,104,9,H92,H91,15
1146,87,9,H97,H96,16
