P_prefix,amount,day,payee,payer,step
41,41,1,H23,H22,1
42,1,1,H33,H32,2
44,2,1,H38,H37,3
61,17,1,H53,H52,4
75,14,1,H63,H62,5
124,49,1,H83,H82,6
172,48,1,H88,H87,7
2,2,3,H6,H5,1
8,6,3,H26,H25,2
24,16,3,H41,H40,3
52,28,3,H51,H50,4
56,4,3,H56,H55,5
57,1,3,H66,H65,6
58,1,3,H76,H75,7
107,49,3,H86,H85,8
112,5,3,H91,H90,9
155,43,3,H1,H100,10
22,22,5,H9,H8,1
73,51,5,H14,H13,2
87,14,5,H19,H18,3
126,39,5,H29,H28,4
132,6,5,H34,H33,5
134,2,5,H39,H38,6
148,14,5,H44,H43,7
173,25,5,H49,H48,8
218,45,5,H59,H58,9
226,8,5,H64,H63,10
231,5,5,H74,H73,11
232,1,5,H79,H78,12
270,38,5,H84,H83,13
276,6,5,H89,H88,14
5,5,7,H7,H6,1
12,7,7,H17,H16,2
46,34,7,H27,H26,3
73,27,7,H47,H46,4
79,6,7,H62,H61,5
80,1,7,H72,H71,6
114,34,7,H77,H76,7
116,2,7,H82,H81,8
205,89,7,H87,H86,9
267,62,7,H97,H96,10
46,46,9,H5,H4,1
48,2,9,H10,H9,2
58,10,9,H30,H29,3
69,11,9,H35,H34,4
114,45,9,H40,H39,5
119,5,9,H50,H49,6
137,18,9,H55,H54,7
224,87,9,H60,H59,8
228,4,9,H75,H74,9
236,8,9,H85,H84,10
253,17,9,H90,H89,11
258,5,9,H95,H94,12
264,6,9,H100,H99,13
