P_prefix,amount,day,payee,payer,step
4,4,1,H2,H1,1
86,82,1,H4,H3,2
86,10,1,H5,H4,3
86,3,1,H6,H5,4
137,51,1,H8,H7,5
137,35,1,H9,H8,6
173,36,1,H12,H11,7
210,37,1,H14,H13,8
331,121,1,H16,H15,9
331,13,1,H17,H16,10
342,11,1,H19,H18,11
342,9,1,H20,H19,12
344,2,1,H23,H22,13
467,123,1,H26,H25,14
467,46,1,H27,H26,15
467,46,1,H28,H27,16
467,32,1,H29,H28,17
504,69,1,H30,H29,18
504,29,1,H31,H30,19
504,10,1,H32,H31,20
539,45,1,H33,H32,21
539,6,1,H34,H33,22
561,22,1,H36,H35,23
571,32,1,H37,H36,24
594,55,1,H38,H37,25
767,173,1,H41,H40,26
767,28,1,H42,H41,27
851,84,1,H45,H44,28
954,103,1,H47,H46,29
954,27,1,H48,H47,30
954,25,1,H49,H48,31
975,21,1,H51,H50,32
1110,135,1,H54,H53,33
1110,15,1,H55,H54,34
1110,8,1,H56,H55,35
1134,24,1,H58,H57,36
1143,33,1,H59,H58,37
1193,83,1,H60,H59,38
1222,112,1,H61,H60,39
1222,54,1,H62,H61,40
1224,56,1,H63,H62,41
1253,85,1,H64,H63,42
1253,80,1,H65,H64,43
1267,94,1,H66,H65,44
1267,47,1,H67,H66,45
1278,11,1,H69,H68,46
1294,27,1,H70,H69,47
1326,32,1,H72,H71,48
1326,21,1,H73,H72,49
1342,16,1,H75,H74,50
1432,90,1,H77,H76,51
1433,91,1,H78,H77,52
1447,14,1,H80,H79,53
1494,47,1,H84,H83,54
1494,35,1,H85,H84,55
1494,33,1,H86,H85,56
1505,44,1,H87,H86,57
1541,80,1,H88,H87,58
1541,60,1,H89,H88,59
1541,16,1,H90,H89,60
1541,5,1,H91,H90,61
1563,27,1,H92,H91,62
1564,28,1,H93,H92,63
1564,4,1,H94,H93,64
1603,39,1,H96,H95,65
1677,74,1,H98,H97,66
1712,109,1,H99,H98,67
1712,40,1,H100,H99,68
