P_prefix,amount,day,payee,payer,step
25,25,1,H13,H12,1
38,13,1,H63,H62,2
45,7,1,H93,H92,3
1,1,2,H16,H15,1
17,16,2,H36,H35,2
18,1,2,dealer_short,H55,3
5,5,3,H19,H18,1
6,1,3,dealer_short,H48,2
9,3,3,H69,H68,3
13,4,3,H79,H78,4
7,7,4,H32,H31,1
19,12,4,dealer_short,H71,2
31,12,4,H92,H91,3
77,77,5,H15,H14,1
79,2,5,H45,H44,2
80,1,5,H75,H74,3
21,21,6,H18,H17,1
320,299,6,H28,H27,2
333,13,6,H48,H47,3
338,5,6,H58,H57,4
345,7,6,H68,H67,5
421,76,6,H78,H77,6
427,6,6,H98,H97,7
6,6,7,dealer_short,H20,1
11,5,7,H41,H40,2
24,13,7,dealer_short,H80,3
47,23,7,H91,H90,4
12,12,8,H4,H3,1
68,56,8,H24,H23,2
9,9,9,H7,H6,1
15,6,9,dealer_short,H86,2
19,19,10,H10,H9,1
66,47,10,H40,H39,2
76,10,10,dealer_short,H69,3
240,164,10,H90,H89,4
