P_prefix,amount,day,payee,payer,step
15,15,1,H13,H12,1
42,27,1,H23,H22,2
2,2,2,H29,H5,1
7,5,2,H36,H35,2
12,5,2,H56,H55,3
14,2,2,dealer_short,H65,4
55,41,2,H76,H75,5
93,38,2,H86,H85,6
114,21,2,dealer_short,H95,7
1,1,3,H9,H8,1
74,73,3,H39,H38,2
93,19,3,dealer_short,H48,3
118,25,3,dealer_short,H58,4
152,34,3,H69,H68,5
153,1,3,H79,H78,6
175,22,3,H99,H98,7
31,31,4,H2,H1,1
42,11,4,H42,H41,2
84,42,4,H82,H81,3
110,26,4,H92,H91,4
41,41,5,dealer_short,H14,1
86,45,5,H25,H24,2
98,12,5,H75,H74,3
2,2,6,H8,H7,1
3,1,6,dealer_short,H17,2
312,309,6,dealer_short,H37,3
318,6,6,H58,H57,4
319,1,6,H68,H67,5
22,22,7,dealer_short,H20,1
23,1,7,H51,H50,2
25,2,7,H91,H90,3
26,1,7,H1,H100,4
13,13,8,H14,H13,1
17,4,8,H24,H23,2
36,19,8,dealer_short,H33,3
37,1,8,dealer_short,H63,4
45,8,8,H74,H73,5
73,28,8,dealer_short,H83,6
35,35,9,H27,H26,1
27,27,10,H10,H9,1
38,11,10,H20,H19,2
134,96,10,H30,H29,3
138,4,10,dealer_short,H39,4
209,71,10,dealer_short,H59,5
240,31,10,dealer_short,H69,6
253,13,10,H100,H99,7
