P_prefix,amount,day,payee,payer,step
42,42,1,H53,H52,1
54,54,3,H4,H3,1
139,85,3,H34,H33,2
193,54,3,H39,H38,3
210,17,3,H44,H43,4
298,88,3,H49,H48,5
389,91,3,H69,H68,6
430,41,3,H74,H73,7
501,71,3,H84,H83,8
574,73,3,H94,H93,9
78,78,5,H5,H4,1
144,66,5,H10,H9,2
255,111,5,H15,H14,3
321,66,5,H20,H19,4
377,56,5,H25,H24,5
479,102,5,H40,H39,6
525,46,5,H50,H49,7
605,80,5,H55,H54,8
648,43,5,H60,H59,9
740,92,5,H65,H64,10
857,117,5,H70,H69,11
905,48,5,H75,H74,12
966,61,5,H85,H84,13
1048,82,5,H90,H89,14
1163,115,5,H95,H94,15
69,69,7,H11,H10,1
202,133,7,H16,H15,2
371,169,7,H31,H30,3
484,113,7,H36,H35,4
571,87,7,H41,H40,5
678,107,7,H46,H45,6
733,55,7,H51,H50,7
830,97,7,H56,H55,8
875,45,7,H66,H65,9
935,60,7,H71,H70,10
1115,180,7,H81,H80,11
1164,49,7,H86,H85,12
1211,47,7,H91,H90,13
1293,82,7,H96,H95,14
1418,125,7,H1,H100,15
61,61,9,H2,H1,1
191,130,9,H7,H6,2
243,52,9,H12,H11,3
394,151,9,H17,H16,4
413,19,9,H22,H21,5
483,70,9,H27,H26,6
567,84,9,H32,H31,7
630,63,9,H37,H36,8
732,102,9,H42,H41,9
811,79,9,H47,H46,10
876,65,9,H57,H56,11
968,92,9,H62,H61,12
1014,46,9,H72,H71,13
1123,109,9,H77,H76,14
1159,36,9,H82,H81,15
1241,82,9,H97,H96,16
