P_prefix,amount,day,payee,payer,step
122,122,1,H13,H12,1
194,72,1,H43,H42,2
212,18,1,H63,H62,3
406,194,1,H83,H82,4
513,107,1,H93,H92,5
3,3,2,H2,H1,1
6,3,2,H72,H71,2
9,3,2,H82,H81,3
29,29,3,H31,H30,1
32,3,3,H51,H50,2
49,17,3,H61,H60,3
96,47,3,H91,H90,4
27,27,4,H20,H19,1
29,2,4,H30,H29,2
158,129,4,H40,H39,3
270,112,4,H70,H69,4
327,57,4,H80,H79,5
372,45,4,H90,H89,6
2,2,5,H19,H18,1
32,30,5,H29,H28,2
137,105,5,H39,H38,3
139,2,5,H49,H48,4
141,2,5,H79,H78,5
257,116,5,H99,H98,6
22,22,6,H28,H27,1
32,10,6,H38,H37,2
61,29,6,H58,H57,3
164,103,6,H78,H77,4
6,6,7,H7,H6,1
11,5,7,H17,H16,2
36,25,7,H37,H36,3
130,94,7,H47,H46,4
139,9,7,H57,H56,5
163,24,7,H67,H66,6
166,3,7,H87,H86,7
178,12,7,H97,H96,8
2,2,8,H16,H15,1
91,89,8,H26,H25,2
132,41,8,H36,H35,3
191,59,8,H56,H55,4
208,17,8,H76,H75,5
251,43,8,H96,H95,6
23,23,9,H45,H44,1
24,1,9,H55,H54,2
184,160,9,H65,H64,3
279,95,9,H75,H74,4
316,37,9,H85,H84,5
1,1,10,H4,H3,1
24,23,10,H24,H23,2
25,1,10,H34,H33,3
75,50,10,H44,H43,4
96,21,10,H54,H53,5
97,1,10,H94,H93,6
