P_prefix,amount,day,payee,payer,step
1,1,1,H18,H17,1
38,37,1,H23,H22,2
119,81,1,dealer_short,H32,3
136,17,1,H38,H37,4
137,1,1,H43,H42,5
144,7,1,H48,H47,6
150,6,1,H58,H57,7
167,17,1,H63,H62,8
169,2,1,H78,H77,9
182,13,1,H88,H87,10
13,13,3,H19,H18,1
14,1,3,H24,H23,2
15,1,3,H29,H28,3
17,2,3,dealer_short,H43,4
28,11,3,H49,H48,5
37,9,3,H54,H53,6
41,4,3,H59,H58,7
66,25,3,H64,H63,8
68,2,3,H79,H78,9
71,3,3,H89,H88,10
74,3,3,H99,H98,11
1,1,5,H10,H9,1
68,67,5,H20,H19,2
73,5,5,H25,H24,3
147,74,5,H30,H29,4
206,59,5,H40,H39,5
251,45,5,dealer_short,H49,6
256,5,5,H55,H54,7
307,51,5,H65,H64,8
361,54,5,dealer_short,H69,9
363,2,5,H80,H79,10
394,31,5,H85,H84,11
429,35,5,H90,H89,12
431,2,5,H100,H99,13
22,22,7,H6,H5,1
72,50,7,dealer_short,H20,2
79,7,7,H26,H25,3
144,65,7,H56,H55,4
146,2,7,H61,H60,5
212,66,7,H66,H65,6
220,8,7,dealer_short,H75,7
246,26,7,H86,H85,8
253,7,7,H1,H100,9
25,25,9,H2,H1,1
65,40,9,H7,H6,2
70,5,9,H46,H26,3
76,6,9,H37,H36,4
97,21,9,H42,H41,5
103,6,9,dealer_short,H51,6
107,4,9,H57,H56,7
165,58,9,H72,H71,8
198,33,9,H87,H86,9
